정류소명,id,경도,위도
강동공영차고지,124000001,127.173885,37.564066
고덕리엔파크1단지,124000003,127.1704714177,37.5611595214
해뜨는주유소,124000005,127.170805,37.559102
고덕천교차로,124000007,127.171147352,37.5563241348
고덕자이.고덕천물놀이장,124000009,127.1720516501,37.5534666908
고덕자이,124000011,127.1725023454,37.5516025716
강동첨단업무단지.상일여고입구,124000192,127.1730829007,37.5486425295
상일초등학교,124000348,127.171582,37.546425
초이동,124000369,127.1615969135,37.5421385963
강동자이.프라자아파트,124000360,127.1488149683,37.5367757552
길동주민센터.둔촌2동주민센터,124000359,127.1429328548,37.5342743542
길동사거리.강동세무서,124000358,127.1368249306,37.5345321979
강동역,124000357,127.13245,37.535907
천호역,124000453,127.127052,37.537655
천호역.풍납시장,123000017,127.122575,37.537038
영파여고.강동구청역,123000023,127.120507,37.531253
풍납현대아파트,123000376,127.1193610526,37.5287587812
풍납동극동.쌍용아파트,123000024,127.1180236157,37.5265632485
잠실파크리오아파트상가.올림픽회관,123000034,127.1146491783,37.521023915
몽촌토성역,123000038,127.113012,37.518369
신천동진주아파트,123000039,127.109397,37.516665
잠실역8번출구,123000043,127.101538,37.51401
잠실역.롯데월드,123000049,127.097765,37.512951
잠실5단지,123000050,127.0939144028,37.5122132454
잠실새내역.잠실2동주민센터,123000052,127.0872805398,37.5117722886
잠실엘스아파트앞,123000053,127.0833904794,37.5118706155
종합운동장사거리,123000054,127.079682,37.51206
잠실종합운동장,123000055,127.0720732937,37.5111175337
강남경찰서.강남운전면허시험장,122000093,127.0659088469,37.5098983164
한국무역센터.삼성역,122000098,127.060899,37.508448
포스코건너편,122000114,127.0554269279,37.5066831874
선릉역,122000115,127.050205,37.505143
서울상록회관.한국기술센터,122000174,127.044057,37.503232
아가방빌딩.하나은행,122000177,127.038772,37.50164
역삼역4번출구,122000180,127.034735,37.500428
신분당선강남역,121000009,127.028538,37.495848
래미안아파트.파이낸셜뉴스,121000007,127.030405,37.491895
뱅뱅사거리,121000005,127.032432,37.487667
양재역.서초문화예술회관,121000003,127.035902,37.48261
말죽거리공원사거리,121000215,127.0383011771,37.4789316238
현대빌라.에코나우,121000197,127.0356382501,37.4761397871
우성아파트.양재초등학교,121000199,127.031828,37.474572
코오롱아파트.양재1동주민센터,121000201,127.0281898414,37.4723552457
우면주공아파트.우면한라아파트,121000203,127.0256888887,37.4707123
서울AI허브.한국교원단체총연합회,121000205,127.0276019229,37.4670266951
성촌마을입구,121000208,127.024963,37.465357
삼성전자서울R&D,121001309,127.023308,37.465844
형촌마을입구(서초네이처힐1.2단지),121000294,127.021443,37.463688
네이처힐5단지,121000956,127.023893,37.463322
네이처힐3.4단지,121000207,127.026143,37.465352
서울AI허브.한국교원단체총연합회,121000206,127.0278540505,37.4669159933
우면주공아파트.양재1동주민센터,121000204,127.026143,37.470782
우면코오롱아파트,121000202,127.0280952447,37.4720372808
우성아파트.양재초등학교,121000200,127.032753,37.474668
현대빌라.에코나우,121000198,127.0360924585,37.4763036239
양재역.서초문화예술회관,121000004,127.036827,37.481927
뱅뱅사거리,121000006,127.033097,37.486653
래미안아파트.파이낸셜뉴스,121000008,127.030987,37.491087
신분당선.강남역4번출구,122900101,127.029565,37.494539
강남역1번출구.역삼세무서,122000184,127.0290968277,37.4982974547
역삼역.포스코타워역삼,122000185,127.033598,37.49949
대한사회복지회,122000201,127.038818,37.501137
한국자산신탁.센터필드,122000202,127.044247,37.502783
선릉역,122000156,127.050462265,37.5047611955
포스코빌딩,122000157,127.0548888307,37.5060493833
한국무역센터.삼성역,122000148,127.060548,37.507841
강남경찰서.강남운전면허시험장,122000356,127.0660087348,37.5095036021
잠실종합운동장,123000065,127.073172,37.510665
종합운동장사거리,123000068,127.0795554593,37.5116128425
잠실새내역4번출구,123000069,127.08436,37.511447
잠실트리지움아파트앞,123000056,127.091105,37.511516
잠실역.롯데월드,123000057,127.0981962498,37.51241161
잠실역1번.11번출구,123000045,127.103242,37.514064
잠실진주아파트,123000127,127.1096189729,37.5161753691
올림픽회관,123000142,127.1151501871,37.5209125924
풍납동극동.쌍용아파트,123000143,127.1187,37.526842
강동구청역.농협중앙회,124000196,127.1201139304,37.5291461005
강동구청역1번출구.영파여고,124000064,127.121355,37.53215
천호역8번출구,124000063,127.1227694856,37.535973076
천호역6번출구,124000028,127.1272890134,37.5372250644
강동역,124000366,127.131516,37.536106
길동사거리.강동세무서,124000365,127.135862,37.534742
길동주민센터.둔촌2동주민센터,124000364,127.142105,37.533887
강동자이·프라자아파트,124000363,127.147785,37.53621
초이동,124000370,127.1610838354,37.5418463392
상일초교,124000362,127.1706308587,37.5457940987
강동첨단업무단지.상일여고입구,124000193,127.1732465045,37.5494046152
고덕리엔파크3단지,124000012,127.172726,37.55189
강명초등학교.고덕천물놀이장,124000010,127.172373,37.553372
고덕천교차로,124000008,127.171561,37.556043
해뜨는주유소,124000006,127.170989,37.559757
고덕리엔파크1단지,124000004,127.170696,37.561365
강동공영차고지,124000002,127.174323,37.564179
