순위,제목,저자,가격,출판사
1,트렌드 코리아 2026,김난도,"18,000",미래의창
2,처음 만나는 양자의 세계,전미영,"17,100",북플레저
3,대형주 추세추종 투자법칙,최지혜,"19,800",사피엔테스
4,위버멘쉬,권정윤,"16,020",떠오름
5,박곰희 연금 부자 수업,한다혜,"18,900",인플루엔셜
6,주식 투자의 뿌리,정보 더 보기/감추기,"19,800",애덤스미스
7,절창 切創,김난도,"16,200",문학동네
8,다크 심리학,전미영,"19,710",어센딩
9,단 한 줄만 내 마음에 새긴다고 해도,최지혜,"21,420",포레스트북스
10,어른의 행복은 조용하다,권정윤,"16,020",페이지2북스
11,머니 트렌드 2026,한다혜,"23,400",북모먼트
12,어스탐 경의 임사전언,이혜원,"18,000",황금가지
13,호의에 대하여,이수진,"16,920",김영사
14,렛뎀 이론,서유현,"18,000",비즈니스북스
15,기분이 태도가 되지 않게 (헬로키티 에디션),전다현,"16,200",갤리온
16,혼모노,이준영,"16,200",창비
17,미야옹 마음 분식점 1 : 좀비 개가 나타나는 골목,이향은,"13,320",지구별아이
18,손자병법,김나은,"11,700",현대지성
19,결국 너의 시간은 온다,채은미,"17,100",웅진지식하우스
20,스토너,이종호(전황),"15,120",알에이치코리아(RHK)
21,모순,프리드리히 니체,"11,700",쓰다
22,ETF 투자의 모든 것,박곰희,"18,900",매일경제신문사
23,사이언스 2026,박두환,"25,200",비룡소
24,그 비스크 돌은 사랑을 한다 15 한정판,구병모,"25,200",소미미디어
